Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
Arrow Electronics;5,861;22,769;0,498;12,443;1082;Information Technology;Electronics;North America;United States;Colorado;Colorado;Michael Long;http://www.forbes.com/companies/arrow-electronics/
Klepierre;15,839;1,315;0,8489;12,435;1082;;;Europe;France;France;;Laurent Morel;http://www.forbes.com/companies/klepierre/
SGS;15,261;6,427;0,6871;5,804;1084;Consumer Discretionary;Business & Personal Services;Europe;Switzerland;Switzerland;;Frankie Ng;http://www.forbes.com/companies/sgs/
Uni-President;9,28;14,031;0,3671;12,649;1084;Consumer Staples;Food Processing;Asia;Taiwan;Taiwan;;Lo Chih-Hsien;http://www.forbes.com/companies/uni-president/
Intuit;27,078;4,582;0,805;5,245;1086;Information Technology;Software & Programming;North America;United States;California;California;Brad Smith;http://www.forbes.com/companies/intuit/
Boston Properties;21,809;2,398;0,4014;19,887;1087;Financials;Real Estate;North America;United States;Massachusetts;Massachusetts;Owen Thomas;http://www.forbes.com/companies/boston-properties/
T Rowe Price;21,398;4,031;1,2154;5,811;1087;Financials;Investment Services;North America;United States;Maryland;Maryland;James Kennedy;http://www.forbes.com/companies/t-rowe-price/
Ralph Lauren;12,034;7,602;0,731;6,344;1089;Consumer Discretionary;Apparel/Accessories;North America;United States;New York;New York;Ralph Lauren;http://www.forbes.com/companies/ralph-lauren/
Teck Resources;8,062;7,786;0,3278;31,806;1089;Materials;Diversified Metals & Mining;North America;Canada;Canada;;Donald Lindsay;http://www.forbes.com/companies/teck-resources/
Norsk Hydro;11,115;12,356;0,1264;16,842;1091;Materials;Aluminum;Europe;Norway;Norway;;Svein Brandtzæg;http://www.forbes.com/companies/norsk-hydro/
Community Health Sys;6,258;18,649;0,092;27,421;1092;Health Care;Healthcare Services;North America;United States;Tennessee;Tennessee;Wayne Smith;http://www.forbes.com/companies/community-health-sys/
Delta Electronics;15,576;6,291;0,6831;6,976;1093;Information Technology;Electronics;Asia;Taiwan;Taiwan;;Ping Cheng;http://www.forbes.com/companies/delta-electronics/
Eletrobrás;2,664;13,851;-1,2913;54,644;1094;Utilities;Electric Utilities;South America;Brazil;Brazil;;José Costa;http://www.forbes.com/companies/eletrobras/
Turkish Airlines;4,843;11,043;0,8317;13,639;1095;Industrials;Airline;Europe;Turkey;Turkey;;Temel Kotil;http://www.forbes.com/companies/turkish-airlines/
Industrial Alliance Insurance;3,503;8,768;0,3884;43,34;1096;Financials;Life & Health Insurance;North America;Canada;Canada;;Yvon Charest;http://www.forbes.com/companies/industrial-alliance-insurance/
Kyushu Electric Power;4,454;17,551;-1,0855;38,794;1097;Utilities;Electric Utilities;Asia;Japan;Japan;;Michiaki Uryu;http://www.forbes.com/companies/kyushu-electric-power/
Noble Group;4,642;85,755;0,132;20,084;1098;Industrials;Conglomerates;Asia;Hong Kong;Hong Kong;;Yusuf Alireza;http://www.forbes.com/companies/noble-group/
Masco;9,367;8,521;0,841;7,167;1099;Materials;Construction Materials;North America;United States;Michigan;Michigan;Keith Allman;http://www.forbes.com/companies/masco/
Kotak Mahindra Bank;17,363;3,29;0,4083;21,762;1100;Financials;Regional Banks;Asia;India;India;;Dipak Gupta;http://www.forbes.com/companies/kotak-mahindra-bank/
DR Horton;10,491;8,657;0,5528;10,339;1101;Industrials;Construction Services;North America;United States;Texas;Texas;David Auld;http://www.forbes.com/companies/dr-horton/
China Galaxy Securities;8,945;2,117;0,6121;29,018;1102;;;Asia;China;China;;Gu Weiguo;http://www.forbes.com/companies/china-galaxy-securities/
BS Financial Group;3,305;3,16;0,7694;76,891;1103;Financials;Regional Banks;Asia;South Korea;South Korea;;Se-Hwan Sung;http://www.forbes.com/companies/bs-financial-group/
SMC Corp;20,643;4,176;0,98;9,296;1104;Industrials;Other Industrial Equipment;Asia;Japan;Japan;;Katsunori Maruyama;http://www.forbes.com/companies/smc-corp/
SJM Holdings;7,616;10,849;0,8794;5,444;1105;Consumer Discretionary;Casinos & Gaming;Asia;Hong Kong;Hong Kong;;Shu So;http://www.forbes.com/companies/sjm-holdings/
Kinnevik;9,391;0,182;3,0429;10,994;1106;Financials;Investment Services;Europe;Sweden;Sweden;;Lorenzo Grabau;http://www.forbes.com/companies/kinnevik/
Daito Trust Construction;9,311;12,615;0,5581;5,229;1107;Industrials;Construction Services;Asia;Japan;Japan;;Naomi Kumakiri;http://www.forbes.com/companies/daito-trust-construction/
Dr Pepper Snapple Group;15,163;6,121;0,703;8,273;1108;Consumer Staples;Beverages;North America;United States;Texas;Texas;Larry Young;http://www.forbes.com/companies/dr-pepper-snapple/
C.H. Robinson Worldwide;10,539;13,47;0,4497;3,214;1109;Industrials;Other Transportation;North America;United States;Minnesota;Minnesota;John Wiehoff;http://www.forbes.com/companies/ch-robinson-worldwide/
China Gezhouba;7,758;11,427;0,3712;16,908;1110;Industrials;Construction Services;Asia;China;China;;He Jiansheng;http://www.forbes.com/companies/china-gezhouba/
AU Optronics;4,87;13,47;0,5817;14,868;1111;Information Technology;Electronics;Asia;Taiwan;Taiwan;;Peng Shuang-Lang;http://www.forbes.com/companies/au-optronics/
Nippon Yusen;4,847;22,35;0,3129;21,775;1112;Industrials;Other Transportation;Asia;Japan;Japan;;Naoya Tazawa;http://www.forbes.com/companies/nippon-yusen/
Zimmer Holdings;19,952;4,673;0,7201;9,635;1113;Health Care;Medical Equipment & Supplies;North America;United States;Indiana;Indiana;David Dvorak;http://www.forbes.com/companies/zimmer-holdings/
Chiba Bank;6,23;2,042;0,5341;106,082;1114;Financials;Regional Banks;Asia;Japan;Japan;;Hidetoshi Sakuma;http://www.forbes.com/companies/chiba-bank/
First Republic Bank;8,077;1,804;0,487;48,426;1115;Financials;Regional Banks;North America;United States;California;California;James Herbert II;http://www.forbes.com/companies/first-republic-bank/
Amphenol;18,292;5,345;0,7091;7,027;1116;Information Technology;Electronics;North America;United States;Connecticut;Connecticut;Richard Norwitt;http://www.forbes.com/companies/amphenol/
Braskem;3,12;19,556;0,367;18,592;1116;Materials;Specialized Chemicals;South America;Brazil;Brazil;;Carlos Fadigas;http://www.forbes.com/companies/braskem/
Kerry Group;12,375;7,636;0,6366;7,221;1116;Consumer Staples;Food Processing;Europe;Ireland;Ireland;;Stan Mccarthy;http://www.forbes.com/companies/kerry-group/
Genworth Financial;3,852;9,629;-1,244;111,358;1119;Financials;Diversified Insurance;North America;United States;Virginia;Virginia;Thomas Mcinerney;http://www.forbes.com/companies/genworth-financial/
China Fortune Land Development;12,669;4,06;0,5741;18,369;1120;;;Asia;China;China;;Meng Jing;http://www.forbes.com/companies/china-fortune-land-development/
Mitsubishi Materials;4,372;14,137;0,493;16,131;1120;Materials;Diversified Metals & Mining;Asia;Japan;Japan;;Hiroshi Yao;http://www.forbes.com/companies/mitsubishi-materials/
Genting;9,272;5,567;0,4572;20,961;1122;Consumer Discretionary;Casinos & Gaming;Asia;Malaysia;Malaysia;;Kok Lim;http://www.forbes.com/companies/genting/
Legrand;15,093;5,968;0,7053;8,635;1123;Industrials;Electrical Equipment;Europe;France;France;;Gilles Schnepp;http://www.forbes.com/companies/legrand/
AGL Energy;7,803;8,909;0,5561;13,031;1124;Utilities;Electric Utilities;Australia;Australia;Australia;;Andrew Vesey;http://www.forbes.com/companies/agl-energy/
Infineon Technologies;13,879;5,921;0,7746;7,495;1125;Information Technology;Semiconductors;Europe;Germany;Germany;;Reinhard Ploss;http://www.forbes.com/companies/infineon-technologies/
RSA Insurance Group;6,512;13,288;0,1137;31,374;1125;Financials;Property & Casualty Insurance;Europe;United Kingdom;United Kingdom;;Stephen Alan;http://www.forbes.com/companies/rsa-insurance-group/
EasyJet;10,946;7,497;0,7453;7,279;1127;Industrials;Airline;Europe;United Kingdom;United Kingdom;;Carolyn Mccall;http://www.forbes.com/companies/easyjet/
Hindalco Industries;4,471;14,434;0,3599;23,642;1128;Materials;Aluminum;Asia;India;India;;Debnarayan Bhattacharya;http://www.forbes.com/companies/hindalco-industries/
Yanzhou Coal Mining;9,501;10,271;0,1303;21,205;1128;Materials;Diversified Metals & Mining;Asia;China;China;;Mingde Yin;http://www.forbes.com/companies/yanzhou-coal-mining/
Wisconsin Energy;11,327;4,997;0,5883;15,163;1130;Utilities;Electric Utilities;North America;United States;Wisconsin;Wisconsin;Gale Klappa;http://www.forbes.com/companies/wisconsin-energy/
NXP Semiconductors;23,249;5,647;0,539;6,893;1131;Information Technology;Semiconductors;Europe;Netherlands;Netherlands;;Richard Clemmer;http://www.forbes.com/companies/nxp-semiconductors/
Financiere de l'Odet;7,342;14,066;0,1815;23,118;1132;Industrials;Conglomerates;Europe;France;France;;Cédric De Bailliencourt;http://www.forbes.com/companies/financiere-de-lodet/
Moody's;21,197;3,334;0,9887;4,669;1133;Consumer Discretionary;Business & Personal Services;North America;United States;New York;New York;Ray Mcdaniel;http://www.forbes.com/companies/moodys/
